13:14:56.770 [ApplicationImpl pooled thread 127] INFO  c.b.l.BrowserStackRunExtension - testng
13:14:56.770 [ApplicationImpl pooled thread 127] INFO  com.browserstack.utils.Helpers - null
13:14:56.771 [ApplicationImpl pooled thread 127] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:19:45.388 [ApplicationImpl pooled thread 134] INFO  c.b.l.BrowserStackRunExtension - testng
13:19:45.388 [ApplicationImpl pooled thread 134] INFO  com.browserstack.utils.Helpers - null
13:19:45.390 [ApplicationImpl pooled thread 134] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:23:50.508 [ApplicationImpl pooled thread 137] INFO  c.b.l.BrowserStackRunExtension - testng
13:23:50.508 [ApplicationImpl pooled thread 137] INFO  com.browserstack.utils.Helpers - null
13:23:50.509 [ApplicationImpl pooled thread 137] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:24:25.874 [ApplicationImpl pooled thread 136] INFO  c.b.l.BrowserStackRunExtension - testng
13:24:25.874 [ApplicationImpl pooled thread 136] INFO  com.browserstack.utils.Helpers - null
13:24:25.875 [ApplicationImpl pooled thread 136] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:24:55.688 [ApplicationImpl pooled thread 136] INFO  c.b.l.BrowserStackRunExtension - testng
13:24:55.688 [ApplicationImpl pooled thread 136] INFO  com.browserstack.utils.Helpers - null
13:24:55.690 [ApplicationImpl pooled thread 136] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:25:22.057 [ApplicationImpl pooled thread 138] INFO  c.b.l.BrowserStackRunExtension - testng
13:25:22.057 [ApplicationImpl pooled thread 138] INFO  com.browserstack.utils.Helpers - null
13:25:22.058 [ApplicationImpl pooled thread 138] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:26:04.650 [ApplicationImpl pooled thread 129] INFO  c.b.l.BrowserStackRunExtension - testng
13:26:04.650 [ApplicationImpl pooled thread 129] INFO  com.browserstack.utils.Helpers - null
13:26:04.651 [ApplicationImpl pooled thread 129] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:26:29.296 [ApplicationImpl pooled thread 136] INFO  c.b.l.BrowserStackRunExtension - testng
13:26:29.297 [ApplicationImpl pooled thread 136] INFO  com.browserstack.utils.Helpers - null
13:26:29.297 [ApplicationImpl pooled thread 136] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:30:58.748 [ApplicationImpl pooled thread 138] INFO  c.b.l.BrowserStackRunExtension - testng
13:30:58.748 [ApplicationImpl pooled thread 138] INFO  com.browserstack.utils.Helpers - null
13:30:58.749 [ApplicationImpl pooled thread 138] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:32:10.675 [ApplicationImpl pooled thread 138] INFO  c.b.l.BrowserStackRunExtension - testng
13:32:10.675 [ApplicationImpl pooled thread 138] INFO  com.browserstack.utils.Helpers - null
13:32:10.675 [ApplicationImpl pooled thread 138] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:35:16.048 [ApplicationImpl pooled thread 148] INFO  c.b.l.BrowserStackRunExtension - testng
